;Kalimat;Sesuai;aspek_Budaya Green;aspek_Keselarasan Strategi;aspek_Metode;aspek_Pegawai;aspek_Tata Kelola;aspek_Teknologi Informasi;aspek_Transisi Energi;sentimen_negatif;sentimen_positif
48;Solar Collector berbentu panel surya yang terdiri dari sekumpulan kaca atau material pemantul lainnya dan diarahkan ke solar receiver;1;0;0;0;0;0;0;1;0;1
49;Lahan bekas tambang batu bara akan dimanfaatkan untuk membangun pembangkit EBT.;1;0;0;0;0;0;0;1;0;1
50;Menurut saya, aplikasi berbasis informasi teknologi perlu dievaluasi terkait kebutuhan strategi green.;;0;0;0;0;0;1;0;0;1
51;Visi dan misi perusahaan sudah menerapkan prinsip ramah lingkungan;1;0;1;0;0;0;0;0;0;1
52;Sinergi antara PLN dan BUMN lain masih perlu ditingkatkan untuk mencapai target net zero emission.;1;0;0;0;0;1;0;0;1;0
53;REC merupakan suatu sertifikat Energi Baru Terbarukan (EBT) yang dikeluarkan PLN sebagai bukti bahwa konsumen menggunakan listrik yang berasal dari energi hijau dan ramah lingkungan.;;0;0;1;0;0;0;0;0;1
54;Pengetahuan dan informasi baru selalu diberikan untuk membantu saya memahami isu lingkungan yang terjadi;;0;0;0;1;0;0;0;0;1
55;Saya turut membantu PLN mempersiapkan perdagangan karbon dan pajak karbon.;1;0;0;0;0;1;0;0;0;1
56;Sekarang PLN masih dalam tahap develop sistem informasi untuk menunjang target green.;;0;0;0;0;0;1;0;0;1
57;Saya tahu bagaimana cara kerja dalam mencapai strategi green.;;0;0;1;0;0;0;0;0;1
58;Saya menawarkan beberapa teman saya untuk menggunakan rooftop PLTS karena lebih bersih energinya;;1;0;0;0;0;0;0;0;1
59;Sistem hybrid memerlukan keahlian dan pola operasi yang lebih rumit.;1;0;0;0;0;0;0;1;0;1
60;Proyek pembangunan PLTS Apung Cirata merupakan gambaran komitmen PLN dalam mendukung Pemerintah mencapai target EBT 23% pada 2025.;;0;0;0;0;0;0;1;0;1
61;Saya mendukung berbagai kegiatan yang menunjang strategi green;;0;0;0;1;0;0;0;0;1
62;Saya diminta untuk mempelajari soal PLTA;;0;0;0;0;0;0;1;0;1
63;Atasan saya sangat menguasai biomass dan banyak sharing ke bawahannya;1;0;0;0;0;0;0;1;0;1
64;Saya aktif mengajukan ide tentang topik keberlanjutan ekonomi dalam isu strategi green;;0;0;0;1;0;0;0;0;1
65;Saya memperoleh webbinar terkait wave energy conversion;1;0;0;0;0;0;0;1;0;1
66;Saya sudah mengikuti trainining mengenai biomass.;1;0;0;0;0;0;0;1;0;1
67;PLN telah melakukan inovasi dengan menghadirkan Stasiun Pengisian Kendaraan Listrik Umum (SPKLU);;0;0;1;0;0;0;0;0;1
68;Belum semua sumber daya yang dimiliki PLN siap menghadapi perdagangan karbon.;1;0;0;0;0;1;0;0;1;0
69;Jenis generator yang dapat digunakan dalam sistem turbin angin diantaranya generator tak-serempak (unsynchronous generator);;0;0;0;0;0;0;1;0;1
70;Aku tidak bisa dengan mudah mengakses informasi mengenai biomass.;;0;0;0;0;0;0;1;1;0
71;Saya mengingatkan rekan-rekan terkait pentingnya menjaga lingkungan sekitar;;1;0;0;0;0;0;0;0;1
72;Saya dilibatkan dalam menyusun roadmap EBT di lingkup divisi.;1;0;0;0;0;1;0;0;0;1
73;Saya belum tahu dampak strategi green PLN terhadap aktivitas kerja di divisi saya.;1;0;1;0;0;0;0;0;1;0
74;PLN terlibat dalam wadah PMO dekarbonisasi dengan BUMN lain.;;0;0;1;0;0;0;0;0;1
75;Saya memastikan regulasi HSE di PLN comply dengan standar HSE luar negeri atau internasional;;1;0;0;0;0;0;0;0;1
76;PLN akan launching beberapa proyek di tahun 2024 untuk bisa mencapai target perjanjian Paris sebanyak 23% di tahun 2025.;;0;0;1;0;0;0;0;0;1
77;Saya tertarik menggunakan kendaraan listrik untuk mendukung strategi green PLN.;1;0;1;0;0;0;0;0;0;1
78;Pola operasi PLTA pumped storage pada waktu di luar beban puncak, air akan dipompakan kembali dari lower reservoir ke upper reservoir memanfaatkan energi dari sistem;;0;0;0;0;0;0;1;0;1
79;Saya terlibat dalam kegiatan co-firing dengan menggunakan cangkang sawit;1;0;0;0;0;0;0;1;0;1
80;Belum ada koordinasi dengan perencanaan sistem dalam pengembangan pembangkit berbahan bakar alternatif.;1;0;0;0;0;1;0;0;1;0
81;Saya bertanggung jawab mengendalikan anggaran EBT.;1;0;0;0;0;1;0;0;0;1
82;Saya ingin ikut terlibat dalam program Green PLN khususnya dalam pembangunan EBT;;1;0;0;0;0;0;0;0;1
83;Saya memperoleh seminar terkait hydroenergy;1;0;0;0;0;0;0;1;0;1
84;Saya diberikan beberapa contoh penerapan perilaku ramah lingkungan;;1;0;0;0;0;0;0;0;1
85;PLN membuat pembangkit listrik berbasis energi baru.;;0;0;1;0;0;0;0;0;1
86;Saya berbagi pemahaman saya untuk keberhasilan strategi green;;0;0;0;1;0;0;0;0;1
87;Ketua tim sering memberi arahan untuk bertindak ramah lingkungan;;0;0;0;1;0;0;0;0;1
88;Green Smart Power adalah paket layanan PLN yang berisi solar panel, internet, dan layanan premium alias tanpa padam;1;0;0;0;0;0;0;1;0;1
89;Penanaman dan kegiatan pemeliharaan pohon yang selama ini telah rutin dilakukan untuk membantu lingkungan dalam pemulihan dampak aktivitas manusia;;1;0;0;0;0;0;0;0;1
90;Saya merasa belum semua unit konsisten dalam menjalankan aktivitas terkait green.;;0;0;1;0;0;0;0;1;0
91;Pembangunan PLTMH merupakan bagian dari strategi Green ;;0;1;0;0;0;0;0;0;1
92;Penetapan PLTS atap sebagai program strategis nasional dimaksudkan untuk mempercepat pencapaian target energi terbarukan sebesar 23 persen pada 2025.;;0;0;0;0;0;0;1;0;1
93;Setiap unit dilibatkan dalam kegiatan ramah lingkungan di perusahaan.;1;0;1;0;0;0;0;0;0;1
94;Saya diajak untuk mengurangi penggunaan tissue dan beralih ke penggunaan lap kain;;1;0;0;0;0;0;0;0;1
95;Masalah terkait green bisa lebih mudah dipecahkan dengan adanya teknologi informasi.;;0;0;0;0;0;1;0;0;1
96;Belum semua divisi memahami efektivitas strategi green yang dilakukan PLN.;;0;1;0;0;0;0;0;1;0
97;Atasan memastikan kebersihan selokan di sekitar kantor;;1;0;0;0;0;0;0;0;1
98;Solar Photovoltaics merupakan teknologi yang dapat mengkonversi energi matahari menjadi energi listrik;1;0;0;0;0;0;0;1;0;1
99;Dengan adanya transformasi digital akan membuat PLN semakin lincah dalam implementasi strategi green.;;0;0;0;0;0;1;0;0;1
100;Teknologi informasi membantu saya dalam mengolah data terkait green.;;0;0;0;0;0;1;0;0;1
101;PLN melakukan konservasi terumbu karang, penanaman mangrove, dan konservasi satwa endemik.;;0;0;1;0;0;0;0;0;1
102;Saya diikutsertakan dalam webinar tentang ocean thermal energy.;1;0;0;0;0;0;0;1;0;1
103;Pecapaian target green PLN dapat dilakukan melalui pencapaian target KPI di masing-masing unit.;1;0;0;0;0;1;0;0;0;1
104;Saya memperoleh pengetahuan terkait perilaku ramah lingkungan dari pelatihan yang diikuti;;1;0;0;0;0;0;0;0;1
105;Terdapat program pajak dan perdagangan karbon yang akan diinisiasi oleh PLN;;0;0;0;0;0;0;1;0;1
106;Saya mempunyai berbagai tanaman di sekitar rumah;;1;0;0;0;0;0;0;0;1
107;PLTMH di bangun di area terpencil, sulit diakses oleh jaringan listrik secara ekonomis, namun memiliki potensi sumber air yang potensial dan luas hutan yang memadai untuk menjamin pasokan air.;;0;0;0;0;0;0;1;0;1
108;Kegiatan konstruksi di PLN sudah memenuhi peraturan lingkungan.;;0;1;0;0;0;0;0;0;1
109;Saya mendapatkan pelatihan terkait nuclear energy;1;0;0;0;0;0;0;1;0;1
110;Program GREEN ditopang oleh implementasi Rencana Jangka Panjang Perusahaan (RJPP),;;0;1;0;0;0;0;0;0;1
111;PLN membuat desain produk yang ramah lingkungan.;;0;0;1;0;0;0;0;0;1
112;Saya meminta karyawan yang bertanggung jawab untuk memastikan pengangkutan sampah secara berkala;;1;0;0;0;0;0;0;0;1
113;Saya hanya memahami adanya koordinasi dengan stakeholder dalam menerapkan prosedur green di PLN.;1;0;0;0;0;1;0;0;1;0
114;Atasan memberikan informasi tentang perilaku ramah lingkungan ;;0;0;0;1;0;0;0;0;1
115;Saya bisa mengakses informasi tentang bagaimana menjaga lingkungan;;0;0;0;1;0;0;0;0;1
116;Atasan meminta untuk tanaman yang ditanam di luar pagar halaman didesain untuk menciptakan keteduhan seperti asam kranji atau tiara payung (Filicium decipiens) juga sebagai pereduksi kadar NO, SO2 dan CO;;1;0;0;0;0;0;0;0;1
117;Atasan selalu mengecek seluruh kegiatan pekerjaan sudah sesuai dengan aturan lingkungan;;1;0;0;0;0;0;0;0;1
118;Saya membiasakan diri berjalan kaki saat berada di lingkungan kantor;;1;0;0;0;0;0;0;0;1
119;Saya diberi tanggung jawab untuk melakukan kegiatan ramah lingkungan;;0;0;0;0;1;0;0;0;1
120;Energi panas bumi dapat dimanfaatkan untuk pembangkit listrik;;0;0;0;0;0;0;1;0;1
121;Menyiapkan SDM untuk menghadapi konsep Hybrid PLTD dan PLTS;;0;0;0;0;0;0;1;0;1
122;Green business prosess diperlukan PLN untuk bisa tetap sustain.;;0;0;1;0;0;0;0;0;1
123;Menggunakan kendaraan listrik merupakan upaya untuk mendukung strategi green PLN.;;0;1;0;0;0;0;0;0;1
124;Saya mengajak rekan membiasakan diri berjalan kaki di lingkungan kantor;;1;0;0;0;0;0;0;0;1
125;Saya tidak yakin apakah net zero emission sesuai Perjanjian Paris akan tercapai.;1;0;1;0;0;0;0;0;1;0
126;Kementerian ESDM telah menetapkan PLTS atap dengan target 3,6 gigawatt pada 2025 sebagai program strategis nasional;;0;0;0;0;0;0;1;0;1
127;Target Indonesia adalah mengurangi emisi gas rumah kaca (GRK) sebesar 29 persen pada 2030 dengan usaha sendiri atau 41 persen jika ada bantuan internasional;;0;0;0;0;0;0;1;0;1
128;Tidak semua divisi memahami dampak strategi green PLN terhadap aktivitas kerja.;;0;1;0;0;0;0;0;1;0
129;Setiap unit diajak  dalam kegiatan ramah lingkungan di perusahaan.;1;0;1;0;0;0;0;0;0;1
130;Saya memahami efektivitas strategi green yang dilakukan PLN.;1;0;1;0;0;0;0;0;0;1
131;Terdapat arahan untuk mengembangkan inovasi-inovasi co-firing untuk mengganti batu bara ke biomassa untuk mengurangi emisi karbon;;1;0;0;0;0;0;0;0;1
132;Program co-firing telah diimplementasikan di 52 lokasi PLTU Batu Bara milik PLN.;1;0;0;0;0;0;0;1;0;1
133;Jenis Sel Surya PLTS PV adalah Single-crystal or Mono-crystalline Silicon;;0;0;0;0;0;0;1;0;1
134;Saya banyak nanya terkait bagaimana implementasi PLTSa;;1;0;0;0;0;0;0;0;1
135;Saya mengecek proses perizinan dalam pembangunan pembangkit EBT PLN.;1;0;0;0;0;1;0;0;0;1
136;Saya diarahkan untuk memasang alat penangkap debu batu bara;;1;0;0;0;0;0;0;0;1
137;Yang saya ketahui mengenai regulasi pemerintah terkait green adalah behawa PLN harus mencapai net zero emission pada tahun 2060.;1;0;0;0;0;1;0;0;1;0
138;Penyusunan roadmap EBT hanya dilakukan oleh pihak-pihak tertentu saja.;;0;0;0;0;1;0;0;1;0
139;Aplikasi saat ini belum otomatis mengetahui jumlah emisi.;;0;0;0;0;0;1;0;1;0
140;Setiap aktivitas kerja di PLN melingkupi kegiatan ramah lingkungan.;1;0;0;0;0;1;0;0;0;1
141;PLN memiliki target KPI BUMN yang terkait dengan pengurangan emisi.;1;0;0;0;0;1;0;0;0;1
142;Aktivitas green telah menjadi bagian dari setiap proses kerja di PLN.;1;0;0;0;0;1;0;0;0;1
143;Ide yang saya miliki untuk memajukan strategi green saya sampaikan pada atasan;;0;0;0;1;0;0;0;0;1
144;Kerjasama PLN dengan BUMN lain tidak menjamin percepatan pengembangan pembangkit EBT.;1;0;0;0;0;1;0;0;1;0
145;Untuk mempercepat transisi energi, PLN mengadakan tender konversi PLTD ke PLTS;;0;0;0;0;0;0;1;0;1
146;Belum semua perencanaan yang dilakukan PLN memenuhi peraturan lingkungan.;;0;1;0;0;0;0;0;1;0
147;Saya mengarahkan rekan/bawahan untuk membantu pengembangan implementasi Green Business Process;;1;0;0;0;0;0;0;0;1
148;Di beberapa PLTS ada komponen tambahan yang lebih kompleks misalnya sistem monitoring, panel AC, panel DC, sistem SCADA, dan panel Station Control Module.;1;0;0;0;0;0;0;1;0;1
149;Program co-firing PLTU juga turut membangun ekositem listrik kerakyatan.;;0;0;1;0;0;0;0;0;1
150;Lamanya penyinaran sangat tergantung pada orientasi permukaan panel surya terhadap matahari serta penggunaan sistem tracking pada penyangga panel surya;0;0;0;0;0;0;0;1;0;1
151;Saya tidak kesulitan menemukan informasi tentang tidal energy conversion. ;1;0;0;0;0;0;0;1;0;1
152;Saya mengikuti arahan atasan untuk selalu menjaga lingkungan sekitar kantor;;1;0;0;0;0;0;0;0;1
153;Pemanfaatan biomassa untuk co-firing misalnya seperti serbuk kayu;0;0;0;0;0;0;0;1;0;1
154;PLN terus melakukan transformasi dengan mendorong penggunaan energi rendah karbon yang ramah lingkungan melalui Green PLN;;0;1;0;0;0;0;0;0;1
155;Menyiapkan SDM untuk menghadapi konversi dari PLTU/PLTD ke EBT;;0;0;0;0;0;0;1;0;1
156;Bersama Green, PLN mencoba mewujudkan bisnis yang berkelanjutan namun ramah lingkungan;;0;1;0;0;0;0;0;0;1
157;Saya memilah sampah organik dan anorganik;;1;0;0;0;0;0;0;0;1
158;PLTMH memiliki konstruksi yang sederhana dan dapat dioperasikan di daerah terpencil dengan tenaga terampil penduduk daerah setempat dengan sedikit latihan;;0;0;0;0;0;0;1;0;1
159;Belum semua perencanaan unit mengacu pada strategi green PLN;1;0;1;0;0;0;0;0;1;0
160;Saya menanam kembali sayuran yang sudah dibeli;;1;0;0;0;0;0;0;0;1
161;Saya memastikan anak buah untuk membuat solusi solusi yang bisa menekan jumlah emisi karbon di kantor;;1;0;0;0;0;0;0;0;1
162;PLN mendukung program pemerintah untuk mencapai target bauran energi baru terbarukan (EBT) sebesar 23% dan zero carbon;;0;0;0;0;0;0;1;0;1
163;Saya menyusun dokumen Terms of Reference sebagai dasar proses pengadaan EPC EBT.;0;0;0;0;0;1;0;0;0;1
164;Penggunaan manajemen ramah lingkungan merupakan strategi green PLN.;1;0;1;0;0;0;0;0;0;1
165;PLN terus menambah kapasitas pembangkit EBT.;;0;0;1;0;0;0;0;0;1
166;PLN menargetkan pembangkit listrik berbasis energi baru terbarukan (EBT) dengan total kapasitas 648 Mega Watt (MW) yang bakal mulai beroperasi pada 2022;;0;0;0;0;0;0;1;0;1
167;Saya menjelaskan pada rekan/bawahan dampak-dampak dari penambangan batu bara;;1;0;0;0;0;0;0;0;1
168;Salah satu Green Booster PLN adalah implementasi sistem Hybrid antara PLTD dan PLTS;;0;0;0;0;0;0;1;0;1
169;MPPT adalah jenis PV controller dengan karakteristik mendapatkan nilai maksimum daya (maximum power point) yang dihasilkan oleh modul surya;;0;0;0;0;0;0;1;0;1
170;Pembangkit EBT berupa Pembangkit Listrik Tenaga Panas tengah dikerjakan oleh PLN;1;0;0;0;0;0;0;1;0;1
171;Jenis PLTS thermal seperti PLTS Tower pusat peningkatan penerima tekanan udara panas/Central Tower Pressure Air Receiver;1;0;0;0;0;0;0;1;0;1
172;Strategi bisnis perusahaan sudah menerapkan aspirasi green.;1;0;1;0;0;0;0;0;0;1
173;PLN memiliki aturan yang mendorong karyawan untuk melakukan aksi ramah lingkungan.;1;0;0;0;0;1;0;0;0;1
174;Atasan memberikan informasi tentang pengelolaan ramah lingkungan;;0;0;0;1;0;0;0;0;1
175;PLN mengoptimalkan energi baru terbarukan sebagai strategi green,;;0;0;1;0;0;0;0;0;1
176;Perusahaan memberkan informasi tentang pengelolaan lingkungan;;0;0;0;1;0;0;0;0;1
177;Masih banyak hal yang perlu saya upayakan untuk mampu mengimplementasikan perilaku berkelanjutan;;0;0;0;1;0;0;0;0;1
178;Salah satu pilar transformasi perusahaan adalah aspirasi green.;1;0;1;0;0;0;0;0;0;1
179;Saya akan terus belajar mengenai teknologi informasi terkini untuk membantu pekerjaan terkait green.;;0;0;0;0;0;1;0;0;1
180;Pengendalian kontrak proyek EBT di PLN dilaksanakan secara terpusat.;1;0;0;0;0;1;0;0;0;1
181;Masyarakat perlu mengetahui keuntungan dengan memiliki produk green PLN.;;0;0;1;0;0;0;0;0;1
182;Strategi Green PLN merupakan salah satu upaya menjalankan bisnis yang berbasis ramah lingkungan;;0;1;0;0;0;0;0;0;1
183;Saya jarang menggunakan AC di ruangan, dan sengaja membuka jendela;;1;0;0;0;0;0;0;0;1
184;Saya diajak untuk menggunakan goody bag khusus saat berbelanja;;1;0;0;0;0;0;0;0;1
185;Akses informasi terkait green masih terpusat, sehingga tidak semua unit mengetahui updatenya.;;0;0;0;0;0;1;0;1;0
186;Menurut saya, strategi green yang dilakukan PLN belum cukup efektif diterapkan di divisi saya.;1;0;1;0;0;0;0;0;1;0
187;Regulasi green yang disusun sifatnya ideal dan sesuai dengan kondisi PLN.;1;0;0;0;0;1;0;0;0;1
188;Saya menginisiasi pembuatan tempat sampah khusus daur ulang plastik di kantor;;1;0;0;0;0;0;0;0;1
189;Saya merasa sistem informasi mengenai green telah terintegrasi.;;0;0;0;0;0;1;0;0;1
190;PLN memiliki sistem pemantauan untuk memastikan pencapaian standar bisnis yang berkelanjutan.;1;0;0;0;0;1;0;0;0;1
191;Saya mengarahkan rekan untuk membiasakan diri berjalan kaki di lingkungan kantor;;1;0;0;0;0;0;0;0;1
192;PLN melakukan analisa bahan bakar untuk pembangkit yang lebih ramah lingkungan.;;0;0;1;0;0;0;0;0;1
193;Saya belum terlibat dalam menjalankan aktivitas bisnis PLN yang berkelanjutan.;1;0;0;0;0;1;0;0;1;0
194;Saya merasa pengembangan aplikasi untuk kepentingan green itu lama.;;0;0;0;0;0;1;0;1;0
195;Saya mencari informasi terkait ocean thermal energy;;1;0;0;0;0;0;0;0;1
196;Belum semua divisi bertanggung jawab menjalankan operasi yang mengacu pada standar green PLN.;;0;0;0;0;1;0;0;1;0
197;Atasan melarang bawahannya untuk membuang sampah ke selokan;;1;0;0;0;0;0;0;0;1
198;Saya membiasakan diri untuk selalu menghemat listrik baik di rumah ataupun di kantor;;1;0;0;0;0;0;0;0;1
199;Menurut saya, sistem monitoring terkait green masih bisa dikembangkan.;;0;0;1;0;0;0;0;0;1
200;Saya mengajak tetangga saya untuk menggunakan kompor induksi;;1;0;0;0;0;0;0;0;1
201;Energi mekanik dihasilkan dari PLTMH didapat melalui perputaran poros turbin oleh aliran air;;0;0;0;0;0;0;1;0;1
202;Kepala unit membagian materi terkait tentang bagaimana membangun perilaku ramah lingkungan;;0;0;0;1;0;0;0;0;1
203;KPI beyond KWH adalah salah satu penyumbang utama target green PLN.;1;0;0;0;0;1;0;0;0;1
204;Atasan meminta untuk ditanam bunga tanjung atau kemuning yang dapat digunakan untuk menahan angin serta menyerap bau;;1;0;0;0;0;0;0;0;1
205;Saya mendapatkan pelatihan sebelum ditempatkan untuk mengelola pekerjaan terkait PLTB;;0;0;0;0;0;0;1;0;1
206;Inisiasi unit induk untuk mengajukan gagasan terkait green masih terkendala KPI dan regulasi.;1;0;0;0;0;1;0;0;1;0
207;PLN belum memiliki sistem kontroling proyek green yang terpadu.;;0;0;1;0;0;0;0;1;0
208;Di 2027 bertambah menjadi 265 MW dan di 2028 bertambah lagi 215 MW.;;0;0;0;0;0;0;1;0;1
209;Sebagian PLTU masih dipertahankan karena sifatnya yang baseload untuk mendukung pembangkit green.;1;0;1;0;0;0;0;0;1;0
210;PLN membuat aksi ramah lingkungan sebagai misi perusahaan.;1;0;1;0;0;0;0;0;0;1
211;Masih perlunya optimalisasi terkait penerapan teknologi informasi terkait strategi green.;;0;0;0;0;0;1;0;0;1
212;Saya mendapatkan pelatihan sebelum ditempatkan untuk mengelola pekerjaan terkait PLTA;;0;0;0;0;0;0;1;0;1
213;Strategi green yang dilakukan PLN cukup efektif diterapkan di divisi saya.;1;0;1;0;0;0;0;0;0;1
214;Saya merasa dilibatkan dalam berbagai kegiatan yang dapat mendukung keberhasilan strategi green;;0;0;0;1;0;0;0;0;1
215;Mudah bagi saya untuk mengakses informasi terkait bioenergy;1;0;0;0;0;0;0;1;0;1
216;PLN terus memasifkan layanan REC.;;0;0;1;0;0;0;0;0;1
217;Saya menegur rekan yang membuang sampah sembarang;;1;0;0;0;0;0;0;0;1
218;Strategi green PLN hanya dilakukan untuk mendukung KTT G20.;1;0;1;0;0;0;0;0;1;0
219;Aksi ramah lingkungan belum secara jelas disebutkan dalam visi dan misi PLN.;;0;1;0;0;0;0;0;1;0
220;PLN mengajak karyawan untuk menyusun program green di masing-masing divisi.;1;0;1;0;0;0;0;0;0;1
221;Terdapat informasi dalam bentuk video terkait transisi energi secara umum;1;0;0;0;0;0;0;1;0;1
222;PLN tidak hanya menekankan soal green, tapi juga mengenai isu Environment Social Governance (ESG).;;0;0;1;0;0;0;0;0;1
223;Saya mendukung dan aktif mencari tahu terkait program Green PLN;;1;0;0;0;0;0;0;0;1
224;PLN melakukan berbagai macam riset dan kajian pembangunan EBT sebagai salah satu langkah penerapan strategi Green;;0;1;0;0;0;0;0;0;1
225;Saya mengajukan ide untuk menanam kembali pohon di sekitar pembangkit PLN;;1;0;0;0;0;0;0;0;1
226;Atasan mengenalkan kepada saya pengetahuan terkait tidal energy conversion;1;0;0;0;0;0;0;1;0;1
227;Pembangkit Listrik Tenaga Bayu/Angin (PLTB) sebesar 2 MW akan beroperasi tahun 2022;;0;0;0;0;0;0;1;0;1
228;Pada umumnya pengembangan energi green di PLN masih pada tahap inisiasi saja.;1;0;1;0;0;0;0;0;1;0
